"freetrade","oppfreetrade","greatoppfreetrade","supfreetrade","msupfreetrade","greatsupfreetrade","age","z.age","female","race4","educ","collegeed","nohsed","hsedorless","z.educ","unemployed","income","z.income","partyid","z.partyid","rep","dem","ind","strongrep","strongdem","ideology","z.ideology","vlib","vcon"
4,0,0,0,0,0,56,0.233617978526476,0,1,5,1,0,0,0.585919169213673,0,4,-0.245621675890078,1,-0.605278441080946,0,1,0,0,1,,,,
4,0,0,0,0,0,59,0.321914537339633,1,1,6,1,0,0,0.914625575504654,0,8,0.363937666165345,4,0.0992730482830151,0,0,1,0,0,2,-0.431190682331835,0,0
4,0,0,0,0,0,53,0.14532141971332,0,1,5,1,0,0,0.585919169213673,1,1,-0.702791182431645,6,0.568974041192322,1,0,0,0,0,4,0.422728420947981,0,0
5,1,0,0,0,0,36,-0.355025746894566,0,1,5,1,0,0,0.585919169213673,0,12,0.973497008220768,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
4,0,0,0,0,0,42,-0.178432629268254,0,1,2,0,0,1,-0.400200049659269,0,10,0.668717337193057,5,0.334123544737669,0,0,1,0,0,4,0.422728420947981,0,0
1,0,0,1,1,1,58,0.292482351068581,0,1,6,1,0,0,0.914625575504654,0,7,0.21154783065149,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
6,1,0,0,0,0,38,-0.296161374352462,0,1,3,0,0,0,-0.0714936433682883,0,,,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
6,1,0,0,0,0,65,0.498507654965945,0,1,2,0,0,1,-0.400200049659269,0,10,0.668717337193057,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
4,0,0,0,0,0,43,-0.149000442997201,0,1,4,0,0,0,0.257212762922693,0,8,0.363937666165345,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
6,1,0,0,0,0,80,0.939990449031727,0,1,6,1,0,0,0.914625575504654,0,10,0.668717337193057,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
1,0,0,1,1,1,38,-0.296161374352462,0,1,6,1,0,0,0.914625575504654,0,11,0.821107172706912,6,0.568974041192322,1,0,0,0,0,4,0.422728420947981,0,0
5,1,0,0,0,0,73,0.733965145134363,1,1,2,0,0,1,-0.400200049659269,0,5,-0.0932318403762219,5,0.334123544737669,0,0,1,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,80,0.939990449031727,0,1,2,0,0,1,-0.400200049659269,0,5,-0.0932318403762219,3,-0.135577448171638,0,1,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,78,0.881126076489623,1,1,2,0,0,1,-0.400200049659269,0,6,0.0591579951376338,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
4,0,0,0,0,0,60,0.351346723610685,1,1,3,0,0,0,-0.0714936433682883,0,8,0.363937666165345,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
7,1,1,0,0,0,32,-0.472754491978775,0,4,2,0,0,1,-0.400200049659269,0,,,5,0.334123544737669,0,0,1,0,0,3,-0.00423113069192707,0,0
3,0,0,1,0,0,35,-0.384457933165618,0,1,6,1,0,0,0.914625575504654,0,,,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
7,1,1,0,0,0,71,0.675100772592258,1,1,2,0,0,1,-0.400200049659269,0,8,0.363937666165345,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
7,1,1,0,0,0,55,0.204185792255424,0,1,3,0,0,0,-0.0714936433682883,0,11,0.821107172706912,5,0.334123544737669,0,0,1,0,0,5,0.849687972587889,0,1
3,0,0,1,0,0,58,0.292482351068581,1,1,6,1,0,0,0.914625575504654,0,15,1.43066651476234,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
2,0,0,1,1,0,66,0.527939841236998,1,1,2,0,0,1,-0.400200049659269,0,,,2,-0.370427944626292,0,1,0,0,0,2,-0.431190682331835,0,0
4,0,0,0,0,0,61,0.380778909881737,0,1,6,1,0,0,0.914625575504654,0,7,0.21154783065149,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
5,1,0,0,0,0,62,0.410211096152789,0,1,3,0,0,0,-0.0714936433682883,0,,,3,-0.135577448171638,0,0,1,0,0,1,-0.858150233971744,1,0
2,0,0,1,1,0,71,0.675100772592258,1,1,3,0,0,0,-0.0714936433682883,0,4,-0.245621675890078,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
3,0,0,1,0,0,38,-0.296161374352462,0,1,5,1,0,0,0.585919169213673,0,10,0.668717337193057,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
1,0,0,1,1,1,35,-0.384457933165618,0,1,5,1,0,0,0.585919169213673,0,6,0.0591579951376338,6,0.568974041192322,0,0,1,0,0,3,-0.00423113069192707,0,0
2,0,0,1,1,0,67,0.55737202750805,1,1,2,0,0,1,-0.400200049659269,0,,,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
5,1,0,0,0,0,72,0.70453295886331,1,1,3,0,0,0,-0.0714936433682883,0,,,4,0.0992730482830151,0,1,0,0,0,2,-0.431190682331835,0,0
5,1,0,0,0,0,61,0.380778909881737,1,1,3,0,0,0,-0.0714936433682883,0,3,-0.398011511403933,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
3,0,0,1,0,0,65,0.498507654965945,1,1,5,1,0,0,0.585919169213673,0,9,0.516327501679201,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
3,0,0,1,0,0,22,-0.767076354689296,1,1,1,0,1,1,-0.72890645595025,0,1,-0.702791182431645,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
7,1,1,0,0,0,66,0.527939841236998,0,1,6,1,0,0,0.914625575504654,0,3,-0.398011511403933,2,-0.370427944626292,0,1,0,0,0,1,-0.858150233971744,1,0
4,0,0,0,0,0,63,0.439643282423841,0,1,2,0,0,1,-0.400200049659269,1,4,-0.245621675890078,5,0.334123544737669,0,0,1,0,0,5,0.849687972587889,0,1
4,0,0,0,0,0,45,-0.0901360704550971,1,1,6,1,0,0,0.914625575504654,0,8,0.363937666165345,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
2,0,0,1,1,0,49,0.0275926746291114,0,1,6,1,0,0,0.914625575504654,0,,,2,-0.370427944626292,0,1,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,71,0.675100772592258,0,1,6,1,0,0,0.914625575504654,0,5,-0.0932318403762219,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
7,1,1,0,0,0,68,0.586804213779102,1,1,2,0,0,1,-0.400200049659269,0,2,-0.550401346917789,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
1,0,0,1,1,1,40,-0.237297001810358,0,1,3,0,0,0,-0.0714936433682883,0,9,0.516327501679201,4,0.0992730482830151,0,0,1,0,0,3,-0.00423113069192707,0,0
5,1,0,0,0,0,61,0.380778909881737,0,1,4,0,0,0,0.257212762922693,0,13,1.12588684373462,5,0.334123544737669,0,0,1,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,59,0.321914537339633,1,1,3,0,0,0,-0.0714936433682883,0,4,-0.245621675890078,5,0.334123544737669,1,0,0,0,0,3,-0.00423113069192707,0,0
2,0,0,1,1,0,63,0.439643282423841,0,1,5,1,0,0,0.585919169213673,0,7,0.21154783065149,2,-0.370427944626292,0,1,0,0,0,4,0.422728420947981,0,0
1,0,0,1,1,1,43,-0.149000442997201,1,1,2,0,0,1,-0.400200049659269,0,4,-0.245621675890078,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
3,0,0,1,0,0,72,0.70453295886331,0,1,2,0,0,1,-0.400200049659269,0,4,-0.245621675890078,5,0.334123544737669,0,0,1,0,0,4,0.422728420947981,0,0
1,0,0,1,1,1,60,0.351346723610685,0,1,2,0,0,1,-0.400200049659269,0,4,-0.245621675890078,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
3,0,0,1,0,0,67,0.55737202750805,0,1,6,1,0,0,0.914625575504654,0,10,0.668717337193057,2,-0.370427944626292,0,1,0,0,0,2,-0.431190682331835,0,0
3,0,0,1,0,0,54,0.174753605984372,0,1,6,1,0,0,0.914625575504654,0,16,1.58305635027619,6,0.568974041192322,0,0,1,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,64,0.469075468694893,1,1,2,0,0,1,-0.400200049659269,0,2,-0.550401346917789,2,-0.370427944626292,0,1,0,0,0,4,0.422728420947981,0,0
5,1,0,0,0,0,44,-0.119568256726149,0,3,2,0,0,1,-0.400200049659269,0,11,0.821107172706912,2,-0.370427944626292,0,1,0,0,0,3,-0.00423113069192707,0,0
6,1,0,0,0,0,56,0.233617978526476,1,1,6,1,0,0,0.914625575504654,0,8,0.363937666165345,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
