abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,age,sex,race,hispanic,degree,partyid,relig,relactiv,rincom06,z.age,female,white,black,otherrace,collegeed,protestant,catholic,atheist,z.partyid,z.relactiv,z.rincom06,prochoice,se_prochoice
1,1,1,1,1,1,1,53,1,1,0,3,5,2,0,21,0.114500842,0,1,0,0,1,0,1,0,0.608580724,-0.419133599,0.484358045,0.962057214,0.573059215
0,0,0,1,0,0,0,26,2,1,0,3,5,2,2,21,-0.660832458,1,1,0,0,1,0,1,0,0.608580724,0.008557205,0.484358045,-1.102688074,0.377283687
0,0,0,1,0,0,0,59,1,1,0,1,6,1,0,NA,0.286797131,0,1,0,0,0,1,0,0,0.868431329,-0.419133599,NA,-1.102688074,0.377283687
0,1,0,1,0,1,0,74,2,1,0,3,3,2,4,NA,0.717537853,1,1,0,0,1,0,1,0,0.088879513,0.436248009,NA,-0.438298029,0.256542133
1,1,1,1,1,1,1,56,2,1,0,3,6,1,2,25,0.200648986,1,1,0,0,1,1,0,0,0.868431329,0.008557205,0.814562746,0.962057214,0.573059215
0,0,0,1,0,1,0,37,2,1,0,0,3,2,0,NA,-0.344955928,1,1,0,0,0,0,1,0,0.088879513,-0.419133599,NA,-0.729203642,0.323631624
1,1,1,1,1,1,1,30,2,3,1,2,3,2,3,18,-0.545968265,1,0,0,1,0,0,1,0,0.088879513,0.222402607,0.236704519,0.962057214,0.573059215
0,0,0,0,0,0,0,43,2,3,1,0,3,2,4,NA,-0.172659639,1,0,0,1,0,0,1,0,0.088879513,0.436248009,NA,-1.716551686,0.515365984
0,1,1,1,1,1,0,69,1,1,0,0,3,1,2,NA,0.573957612,0,1,0,0,0,1,0,0,0.088879513,0.008557205,NA,0.026786788,0.127635481
1,1,1,1,1,1,1,40,2,1,0,1,1,2,0,14,-0.258807784,1,1,0,0,0,0,1,0,-0.430821698,-0.419133599,-0.093500182,0.962057214,0.573059215
0,1,0,1,0,1,0,46,1,1,0,1,3,4,0,25,-0.086511495,0,1,0,0,0,0,0,1,0.088879513,-0.419133599,0.814562746,-0.438298029,0.256542133
1,1,1,1,1,1,1,39,2,3,1,0,1,11,3,6,-0.287523832,1,0,0,1,0,0,0,0,-0.430821698,0.222402607,-0.753909585,0.962057214,0.573059215
0,1,0,1,0,1,0,30,2,2,0,1,3,1,7,14,-0.545968265,1,0,1,0,0,1,0,0,0.088879513,1.077784214,-0.093500182,-0.438298029,0.256542133
0,1,1,1,0,0,0,42,2,1,1,1,1,2,3,NA,-0.201375687,1,1,0,0,0,0,1,0,-0.430821698,0.222402607,NA,-0.220899501,0.18524874
0,1,0,1,0,1,0,38,1,3,1,1,1,4,3,NA,-0.31623988,0,0,0,1,0,0,0,1,-0.430821698,0.222402607,NA,-0.438298029,0.256542133
1,1,1,1,1,1,1,38,2,1,1,1,0,2,0,16,-0.31623988,1,1,0,0,0,0,1,0,-0.690672303,-0.419133599,0.071602168,0.962057214,0.573059215
0,0,0,0,0,0,0,28,2,2,1,4,2,4,0,NA,-0.603400361,1,0,1,0,1,0,0,1,-0.170971092,-0.419133599,NA,-1.716551686,0.515365984
1,1,1,1,1,1,1,50,1,1,0,1,2,1,2,22,0.028352698,0,1,0,0,0,1,0,0,-0.170971092,0.008557205,0.56690922,0.962057214,0.573059215
1,1,1,1,1,1,1,54,1,1,0,3,2,4,0,18,0.14321689,0,1,0,0,1,0,0,1,-0.170971092,-0.419133599,0.236704519,0.962057214,0.573059215
1,1,0,1,1,1,0,NA,2,1,0,3,3,4,2,NA,NA,1,1,0,0,1,0,0,1,0.088879513,0.008557205,NA,0.022468689,0.127572276
1,1,1,1,1,1,1,61,2,1,1,3,2,2,2,18,0.344229227,1,1,0,0,1,0,1,0,-0.170971092,0.008557205,0.236704519,0.962057214,0.573059215
0,1,1,1,1,1,1,54,2,1,0,3,5,2,1,NA,0.14321689,1,1,0,0,1,0,1,0,0.608580724,-0.205288197,NA,0.250984039,0.173132724
0,1,0,1,0,0,0,47,1,1,0,3,NA,9,0,NA,-0.057795447,0,1,0,0,1,0,0,0,NA,-0.419133599,NA,-0.689739486,0.316600417
0,1,0,0,0,1,0,37,2,2,0,1,3,4,0,13,-0.344955928,1,0,1,0,0,0,0,1,0.088879513,-0.419133599,-0.176051357,-0.713619115,0.320917619
0,1,1,1,0,1,0,69,2,1,0,0,5,4,4,NA,0.573957612,1,1,0,0,0,0,0,1,0.608580724,0.436248009,NA,-0.132540911,0.157111797
0,1,1,1,0,1,0,35,1,1,0,3,1,2,2,22,-0.402388024,0,1,0,0,1,0,1,0,-0.430821698,0.008557205,0.56690922,-0.132540911,0.157111797
1,1,1,1,1,1,1,61,2,1,0,3,4,1,6,NA,0.344229227,1,1,0,0,1,1,0,0,0.348730119,0.863938813,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,80,1,1,0,2,6,2,0,NA,0.889834141,0,1,0,0,0,0,1,0,0.868431329,-0.419133599,NA,0.962057214,0.573059215
0,1,0,1,0,1,0,59,1,1,0,0,3,1,3,NA,0.286797131,0,1,0,0,0,1,0,0,0.088879513,0.222402607,NA,-0.438298029,0.256542133
0,1,0,1,0,0,0,50,2,1,0,3,6,2,0,23,0.028352698,1,1,0,0,1,0,1,0,0.868431329,-0.419133599,0.649460396,-0.689739486,0.316600417
1,1,1,1,1,1,1,43,2,2,0,1,0,1,2,18,-0.172659639,1,0,1,0,0,1,0,0,-0.690672303,0.008557205,0.236704519,0.962057214,0.573059215
0,0,0,1,0,1,0,30,1,1,0,2,5,2,0,19,-0.545968265,0,1,0,0,0,0,1,0,0.608580724,-0.419133599,0.319255694,-0.729203642,0.323631624
0,0,0,0,0,1,0,59,1,1,0,1,1,2,0,20,0.286797131,0,1,0,0,0,0,1,0,-0.430821698,-0.419133599,0.40180687,-1.136585879,0.382354647
1,1,0,1,1,1,1,32,2,1,0,4,1,4,0,23,-0.488536169,1,1,0,0,1,0,0,1,-0.430821698,-0.419133599,0.649460396,0.243179269,0.169995797
0,1,0,1,0,1,0,32,1,3,1,1,1,2,0,16,-0.488536169,0,0,0,1,0,0,1,0,-0.430821698,-0.419133599,0.071602168,-0.438298029,0.256542133
1,1,1,1,1,1,1,42,1,1,0,3,0,4,2,19,-0.201375687,0,1,0,0,1,0,0,1,-0.690672303,0.008557205,0.319255694,0.962057214,0.573059215
0,1,0,1,0,0,0,29,1,3,1,2,0,4,1,19,-0.574684313,0,0,0,1,0,0,0,1,-0.690672303,-0.205288197,0.319255694,-0.689739486,0.316600417
1,1,1,1,1,1,1,24,2,2,0,3,0,1,0,2,-0.718264554,1,0,1,0,1,1,0,0,-0.690672303,-0.419133599,-1.084114286,0.962057214,0.573059215
1,1,1,1,1,1,1,63,2,1,0,1,5,3,7,NA,0.401661323,1,1,0,0,0,0,0,0,0.608580724,1.077784214,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,44,2,1,0,4,1,1,0,21,-0.143943591,1,1,0,0,1,1,0,0,-0.430821698,-0.419133599,0.484358045,0.962057214,0.573059215
1,1,1,1,1,1,1,43,2,3,1,3,0,2,0,NA,-0.172659639,1,0,0,1,1,0,1,0,-0.690672303,-0.419133599,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,51,1,1,0,4,1,4,0,13,0.057068746,0,1,0,0,1,0,0,1,-0.430821698,-0.419133599,-0.176051357,0.962057214,0.573059215
