pres12,vote12,age,race,degree,sei10,rincom06,partyid,sex
.i,2,53,1,3,59.1,21,5,1
2,1,26,1,3,61.9,21,5,2
2,1,59,1,1,38.1,.i,6,1
2,1,56,1,3,73.90000000000001,10,5,2
1,1,74,1,3,76.3,.i,3,2
2,1,56,1,3,52,25,6,2
.n,1,63,1,1,.i,.a,6,1
.i,2,34,1,4,69.3,16,.d,1
.i,2,37,1,0,.i,.i,3,2
1,1,30,3,2,39.6,18,3,2
.i,2,43,3,0,.i,.i,3,2
.i,2,56,1,0,32,.i,3,1
.i,2,69,1,0,23.3,.i,3,1
1,1,40,1,1,42.9,14,1,2
.i,2,25,1,1,26.9,15,3,2
2,1,56,1,1,36.4,14,6,1
1,1,51,3,1,24.2,21,1,2
.i,2,46,1,1,37.6,25,3,1
2,1,51,1,0,20.9,13,4,1
.i,2,39,3,0,14,6,1,2
.i,2,30,2,1,71,14,3,2
.i,2,36,1,0,.i,.i,4,2
.i,2,42,1,1,13.6,.i,1,2
.i,2,38,3,1,21.5,.i,1,1
1,1,38,1,1,54.6,16,0,2
.i,2,28,2,4,43,.i,2,2
1,1,35,1,1,18.6,14,3,1
2,1,57,1,3,91.09999999999999,22,5,1
.i,2,50,1,1,57.4,22,2,1
1,1,54,1,3,78.3,18,2,1
3,1,.n,1,3,56.9,.i,3,2
1,1,61,1,3,38.3,18,2,2
1,1,54,1,3,.i,.a,5,2
.i,2,47,1,3,28.5,.a,.n,1
1,1,53,3,1,13.6,.i,1,1
.i,2,37,2,1,24.2,13,3,2
.i,2,38,3,0,13.6,8,3,2
.i,2,31,1,1,38.8,18,4,1
.i,2,69,1,0,39.7,.a,5,2
1,1,35,1,3,43,22,1,1
2,1,61,1,3,92,.a,4,2
2,1,80,1,2,65.3,.i,6,1
.i,2,59,1,0,20.7,.i,3,1
.i,2,26,1,1,31.2,16,2,1
.i,2,50,1,3,64.5,23,6,2
1,1,43,2,1,52,18,0,2
2,1,30,1,2,69.3,19,5,1
1,1,59,1,1,32,20,1,1
.i,3,32,1,4,78.3,23,1,2
.i,3,32,3,1,25.2,16,1,1
2,1,52,1,4,38.8,18,3,2
1,1,42,1,3,74.8,19,0,1
1,1,29,3,2,37.6,19,0,1
1,1,81,1,1,38.8,.i,3,2
.i,3,51,3,4,78.3,21,5,1
1,1,24,2,3,60.3,2,0,2
2,1,63,1,1,47.9,.i,5,2
1,1,44,1,4,67.7,21,1,2
2,1,56,1,3,62,22,6,2
1,1,43,3,3,76.3,.i,0,2
.i,2,51,1,4,37.8,13,1,1
1,1,32,3,3,55.1,14,2,2
1,1,47,3,4,82.5,21,1,2
1,1,47,3,4,61.4,21,2,2
.i,3,34,3,4,87.90000000000001,24,3,1
1,1,69,1,4,79.3,24,0,1
1,1,65,1,3,79.3,25,5,2
2,1,57,1,4,75.59999999999999,25,3,1
.i,2,24,1,3,37.6,.i,5,1
2,1,32,1,1,19.6,13,6,1
.i,2,51,1,2,68.59999999999999,.i,2,1
1,1,66,1,4,80.90000000000001,20,0,2
2,1,51,1,3,67.7,21,3,2
1,1,27,1,3,37.2,.a,3,1
1,1,39,1,4,82.5,23,0,2
1,1,41,3,4,82.5,.i,3,2
1,1,54,1,3,59.9,24,1,1
1,1,58,1,3,82.40000000000001,25,0,2
.i,2,43,3,1,36.9,.i,3,1
.i,2,55,3,0,43.9,.i,2,2
1,1,51,3,0,23.3,8,2,1
.i,2,40,3,0,39.7,.i,2,2
.i,2,35,2,1,37.6,.i,2,2
.i,2,43,3,0,13.6,.i,3,1
1,1,36,2,0,21.6,.i,1,2
1,1,30,3,0,24.2,.i,0,2
1,1,56,2,0,27,.i,1,1
1,1,41,2,3,60.3,20,1,1
1,1,25,1,1,37.6,19,0,1
.i,2,48,2,2,64.5,19,3,2
4,1,45,1,2,72.59999999999999,23,5,1
1,1,72,2,1,23.7,.i,3,2
.i,2,27,2,3,78.3,19,0,2
.i,2,24,1,0,24.2,11,3,2
1,1,40,3,1,43.8,.i,1,2
.i,2,26,2,2,21.8,18,1,2
1,1,28,3,1,21.8,.i,1,2
.i,2,37,2,1,31.6,12,2,2
.n,1,.n,2,4,.i,.a,.n,2
1,1,62,2,0,20.7,.i,0,1
1,1,43,2,1,45.1,22,0,2
1,1,32,1,4,75.59999999999999,20,2,1
1,1,65,2,1,20.1,15,0,2
.i,2,32,1,3,38.8,15,2,2
.i,3,51,1,4,28.5,.a,2,1
1,1,41,1,3,56.9,18,3,1
2,1,81,1,3,38.8,.i,6,1
.i,2,74,1,3,52,.i,1,2
3,1,42,1,4,86.09999999999999,23,4,1
2,1,45,1,3,52,.a,5,1
.i,2,23,2,3,57.8,.i,3,1
.i,3,26,3,1,23.3,10,3,1
.i,2,29,3,1,24.6,15,3,2
1,1,28,3,1,27.6,13,2,1
1,1,60,1,3,20.7,.i,1,2
1,1,35,1,4,82.5,19,2,2
1,1,38,3,3,62.4,.i,0,2
1,1,30,3,3,38.3,17,0,1
1,1,44,3,4,82.5,21,.n,1
.i,2,58,1,3,21.6,15,2,2
