state,turnout,perhsdiploma,percollegediploma,region,stateincome
Alabama,58.9,82.1,22,6,32354
Alaska,58.9,91.4,26.6,9,61202
Arizona,52.9,84.6,25.6,8,34676
Arkansas,50.5,82.4,18.9,7,31547
California,55.2,80.6,29.9,9,44898
Colorado,70.3,89.3,35.9,8,45913
Connecticut,60.9,88.6,35.6,1,55143
Delaware,62.7,87.4,28.7,5,61737
Florida,63.5,85.3,25.3,5,34440
Georgia,58.4,83.9,27.5,5,37324
Hawaii,44.2,90.4,29.6,9,44296
Idaho,59.6,88.4,23.9,8,32025
Illinois,58.9,86.4,30.6,3,45306
Indiana,55.1,86.6,22.5,3,37934
Iowa,69.9,90.5,25.1,4,41404
Kansas,56.8,89.7,29.5,4,40716
Kentucky,55.3,81.7,21,6,33135
Louisiana,60.4,82.2,21.4,7,42764
Maine,68.1,90.2,26.9,1,34455
Maryland,66.2,88.2,35.7,5,46054
Massachusetts,66.3,89,38.2,1,52517
That State Up North,64.7,87.9,24.6,3,34547
Minnesota,75.7,91.5,31.5,4,45708
Mississippi,59.7,80.4,19.6,6,28337
Missouri,62.5,86.8,25.2,4,36169
Montana,62.6,90.8,27.4,8,32742
Nebraska,60.1,89.8,27.4,4,44594
Nevada,57.1,83.9,21.8,8,40970
New Hampshire,70.1,91.3,32,1,42818
New Jersey,61.9,87.4,34.5,2,49020
New Mexico,54.7,82.8,25.3,8,33872
New York,53.2,84.7,32.4,2,52657
North Carolina,64.6,84.3,26.5,5,39627
North Dakota,60.5,90.1,25.8,4,49847
The Greatest State of Ohio,64.6,87.6,24.1,3,36892
Oklahoma,49.2,85.6,22.7,7,35726
Oregon,63.2,89.1,29.2,9,46573
Pennsylvania,59.4,87.9,26.4,2,39455
Rhode Island,58,84.7,30.5,1,41061
South Carolina,56.6,83.6,24.3,5,31345
South Dakota,59.4,89.9,25.1,4,43561
Tennessee,52.2,83.1,23,6,36370
Texas,49.7,79.9,25.5,7,45025
Utah,55.4,90.4,28.5,8,38373
Vermont,60.4,91,33.1,1,37736
Virginia,66.4,86.6,34,5,47118
Washington,64.1,89.7,31,9,45942
West Virginia,46.3,82.8,17.3,5,29427
Wisconsin,72.5,89.8,25.7,3,38845
Wyoming,58.9,91.8,23.8,8,54969
